"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
6000673,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"LEITCH (JAMES) ELEM.",261,242,92.72030651341,18,6.89655172413793,0,0,1,0.38314176245211,244,93.4865900383142,247,94.6360153256705,260,99.6168582375479,248,95.0191570881226,260,99.6168582375479,260,99.6168582375479,Y
6000715,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"MALONEY ELEM.",103,93,90.2912621359223,10,9.70873786407767,0,0,0,0,98,95.1456310679612,99,96.1165048543689,102,99.0291262135922,99,96.1165048543689,100,97.0873786407767,103,100,Y
6000723,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"MATTOS ELEM.",78,71,91.025641025641,7,8.97435897435897,0,0,0,0,74,94.8717948717949,75,96.1538461538462,78,100,71,91.025641025641,78,100,78,100,Y
6090559,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"MILLARD (STEVEN) ELEM.",91,84,92.3076923076923,7,7.69230769230769,0,0,0,0,87,95.6043956043956,88,96.7032967032967,91,100,86,94.5054945054945,90,98.9010989010989,91,100,Y
6090534,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"MISSION SAN JOSE ELEM.",56,56,100,0,0,0,0,0,0,56,100,56,100,56,100,56,100,56,100,56,100,Y
6000749,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"MISSION VALLEY ELEM.",81,78,96.2962962962963,3,3.7037037037037,0,0,0,0,79,97.5308641975309,80,98.7654320987654,81,100,80,98.7654320987654,81,100,81,100,Y
6000756,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"NILES ELEM.",84,77,91.6666666666667,3,3.57142857142857,0,0,4,4.76190476190476,80,95.2380952380952,80,95.2380952380952,80,95.2380952380952,77,91.6666666666667,80,95.2380952380952,80,95.2380952380952,Y
6090542,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"OLIVEIRA ELEM.",133,129,96.9924812030075,0,0,0,0,4,3.00751879699248,129,96.9924812030075,129,96.9924812030075,129,96.9924812030075,129,96.9924812030075,129,96.9924812030075,129,96.9924812030075,Y
6000798,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"PARKMONT ELEM.",112,111,99.1071428571429,0,0,0,0,1,0.89285714285714,111,99.1071428571429,111,99.1071428571429,111,99.1071428571429,111,99.1071428571429,111,99.1071428571429,111,99.1071428571429,Y
6000806,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"PATTERSON ELEM.",96,80,83.3333333333333,16,16.6666666666667,0,0,0,0,88,91.6666666666667,85,88.5416666666667,96,100,85,88.5416666666667,93,96.875,96,100,Y
6000830,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"VALLEJO MILL ELEM.",73,64,87.6712328767123,8,10.958904109589,0,0,1,1.36986301369863,69,94.5205479452055,70,95.8904109589041,72,98.6301369863014,66,90.4109589041096,70,95.8904109589041,72,98.6301369863014,Y
6089619,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"WARWICK ELEM.",96,86,89.5833333333333,9,9.375,0,0,1,1.04166666666667,91,94.7916666666667,92,95.8333333333333,94,97.9166666666667,88,91.6666666666667,94,97.9166666666667,94,97.9166666666667,Y
6106983,ALAMEDA,PUBLIC,"FREMONT UNIFIED",FREMONT,"WEIBEL ELEM.",104,101,97.1153846153846,2,1.92307692307692,0,0,1,0.96153846153846,102,98.0769230769231,103,99.0384615384615,103,99.0384615384615,101,97.1153846153846,102,98.0769230769231,103,99.0384615384615,Y
6000889,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"BOWMAN ELEM.",79,65,82.2784810126582,14,17.7215189873418,0,0,0,0,74,93.6708860759494,73,92.4050632911392,76,96.2025316455696,70,88.6075949367088,76,96.2025316455696,77,97.4683544303797,Y
6000905,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"BURBANK ELEM.",114,112,98.2456140350877,1,0.87719298245614,0,0,1,0.87719298245614,113,99.1228070175439,112,98.2456140350877,113,99.1228070175439,113,99.1228070175439,113,99.1228070175439,113,99.1228070175439,Y
6000913,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"CHERRYLAND ELEM.",120,108,90,12,10,0,0,0,0,113,94.1666666666667,114,95,120,100,110,91.6666666666667,119,99.1666666666667,119,99.1666666666667,Y
6000921,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"EAST AVE. ELEM.",81,70,86.4197530864197,10,12.3456790123457,0,0,1,1.23456790123457,75,92.5925925925926,71,87.6543209876543,80,98.7654320987654,76,93.8271604938272,77,95.0617283950617,79,97.5308641975309,Y
6001051,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"EDEN (LORIN A.) ELEM.",67,65,97.0149253731343,2,2.98507462686567,0,0,0,0,67,100,67,100,67,100,65,97.0149253731343,67,100,67,100,Y
6090583,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"EDEN GARDENS ELEM.",82,75,91.4634146341463,7,8.53658536585366,0,0,0,0,79,96.3414634146341,80,97.5609756097561,81,98.780487804878,77,93.9024390243902,80,97.5609756097561,81,98.780487804878,Y
6000947,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"ELDRIDGE ELEM.",87,84,96.551724137931,3,3.44827586206897,0,0,0,0,85,97.7011494252874,85,97.7011494252874,86,98.8505747126437,85,97.7011494252874,84,96.551724137931,86,98.8505747126437,Y
6000962,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"FAIRVIEW ELEM.",74,69,93.2432432432432,4,5.40540540540541,0,0,1,1.35135135135135,71,95.9459459459459,70,94.5945945945946,73,98.6486486486486,70,94.5945945945946,73,98.6486486486486,73,98.6486486486486,Y
6113815,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"FAITH RINGGOLD ELEM.",18,17,94.4444444444444,0,0,0,0,1,5.55555555555556,17,94.4444444444444,17,94.4444444444444,17,94.4444444444444,17,94.4444444444444,17,94.4444444444444,17,94.4444444444444,Y
6000988,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"GLASSBROOK ELEM.",112,106,94.6428571428571,6,5.35714285714286,0,0,0,0,106,94.6428571428571,107,95.5357142857143,112,100,106,94.6428571428571,111,99.1071428571429,112,100,Y
6000996,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"HARDER ELEM.",85,74,87.0588235294118,11,12.9411764705882,0,0,0,0,76,89.4117647058824,76,89.4117647058824,82,96.4705882352941,78,91.7647058823529,82,96.4705882352941,82,96.4705882352941,Y
6001044,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"LONGWOOD ELEM.",104,97,93.2692307692308,7,6.73076923076923,0,0,0,0,99,95.1923076923077,99,95.1923076923077,102,98.0769230769231,99,95.1923076923077,100,96.1538461538462,102,98.0769230769231,Y
6001093,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"PALMA CEIA ELEM.",77,69,89.6103896103896,8,10.3896103896104,0,0,0,0,70,90.9090909090909,71,92.2077922077922,77,100,73,94.8051948051948,77,100,77,100,Y
6001101,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"PARK ELEM.",101,90,89.1089108910891,11,10.8910891089109,0,0,0,0,93,92.0792079207921,93,92.0792079207921,99,98.019801980198,93,92.0792079207921,95,94.059405940594,101,100,Y
6001127,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"RUUS ELEM.",92,86,93.4782608695652,6,6.52173913043478,0,0,0,0,89,96.7391304347826,89,96.7391304347826,90,97.8260869565217,89,96.7391304347826,88,95.6521739130435,89,96.7391304347826,Y
6001135,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"SCHAFER PARK ELEM.",61,60,98.3606557377049,1,1.63934426229508,0,0,0,0,61,100,61,100,61,100,60,98.3606557377049,61,100,61,100,Y
6001176,ALAMEDA,PUBLIC,"HAYWARD UNIFIED",HAYWARD,"SOUTHGATE ELEM.",79,74,93.6708860759494,5,6.32911392405063,0,0,0,0,74,93.6708860759494,76,96.2025316455696,78,98.7341772151899,76,96.2025316455696,78,98.7341772151899,78,98.7341772151899,Y
